Ward_code,Superfast_availability,Average_download_speed,Speed_over_30_Mbps
E05010928,99.70%,127.7,87.90%
E05010923,99.90%,81.7,87.10%
E05010925,99.80%,119.8,92.50%
E05010930,96.40%,167.9,87.30%
E05010924,100.00%,68.4,86.10%
E05006546,95.50%,133.9,86.50%
E05006548,100.00%,130.7,92.90%
E05006551,91.90%,114.2,88.50%
E05006559,100.00%,122.2,93.00%
E05006555,97.30%,142.5,91.30%
E05006557,97.20%,117.3,86.10%
E05011714,98.80%,137.1,86.90%
E05011715,98.20%,161.8,84.00%
E05009770,97.70%,62.3,84.40%
E05012977,98.80%,122,83.60%
E05009769,99.10%,148.7,89.80%
E05006634,99.60%,132.9,87.40%
E05009363,87.30%,61.2,71.70%
E05006637,99.60%,62.1,85.00%
E05006649,99.90%,112.9,89.30%
E05006648,99.50%,109.8,84.00%
E05009735,98.70%,94.8,85.30%
E05009734,96.40%,85.2,84.40%
E05011701,96.80%,102.6,84.00%
E05011710,98.50%,103.3,86.90%
E05012854,98.20%,60.6,79.30%
