Ward_code, Mar_2020, Jun_2020, Sep_2020, Dec_2020, Mar_2021, Jun_2021, Sep_2021, Dec_2021
E05006559,430000,415000,440000,440000,432500,436500,428750,438000
E05006557,325000,340000,350000,362500,375000,380000,375000,375000
E05006546,280000,295000,285000,290000,280000,280000,292500,292000
E05006548,296250,300000,298000,306000,330500,355000,360000,365000
E05006551,570000,540000,500000,500000,537000,552500,570000,530000
E05006555,450000,435000,423500,435000,435000,452000,477000,495000
E05010928,277500,280000,271500,281000,289375,294500,295000,292075
E05010923,247500,250000,247500,252000,256750,267250,270000,270000
E05010925,280000,270000,275000,277000,285000,298775,280500,285000
E05010924,201500,205000,203000,215000,215000,215000,224000,230000
E05010930,374000,372000,382500,435000,475000,485000,484975,460000
E05009770,340000,325000,360000,400000,393750,399000,380000,363250
E05011715,452500,450000,450000,443500,450000,457500,450000,390000
E05009769,410000,430000,490000,456000,468750,456000,440000,419972.5
E05011714,406300,404000,386850,440000,450000,441000,465000,462000
E05012977,370000,361000,418750,412500,400000,448750,425000,475000
E05009363,542500,533750,717500,562500,677500,677500,721000,713500
E05006648,350000,325000,325000,300000,352500,360000,343750,351500
E05006649,295000,299499.5,300000,315000,315000,316000,315000,306500
E05006637,319750,325000,332500,350000,345000,340000,340000,340000
E05006634,257500,251250,285000,300000,266000,300000,299000,295000
E05009734,278000,278000,355000,355000,337500,390000,367000,363500
E05009735,342500,346250,375000,380000,411250,404250,411250,406500
E05011701,357500,360000,350000,362250,385000,385000,391000,399000
E05012854,615500,556500,594975,615000,655950,650000,662500,675000
E05011710,385000,370000,365000,372500,377000,377000,377000,380000
